the_geom,OBJECTID,Name,Type,Address
POINT (-90.080161043709 29.926428045398),99,PARASOL'S ST. PATRICK'S DAY BLOCK PARTY,Holiday,2533 CONSTANCE ST
POINT (-90.11319215335 29.925200866263),149,FILM-O-RAMA,"Film, Theatre, and Dance",5339 PRYTANIA ST
POINT (-90.09665237677 29.9926444467),18,FRIDAY NIGHTS AT NOMA,Visual Arts & Crafts,1 PALM DR
POINT (-90.065278870053 29.944417061521),74,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",220 JULIA ST
POINT (-90.056909156146 29.964288851936),175,BIG EASY INTERNATIONAL FILM FESTIVAL,Film & Video,628 ELYSIAN FIELDS AVE
POINT (-90.099332055949 30.004305466479),23,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1009 HARRISON AVE
POINT (-90.065888101304 29.957130613628),148,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,533 ROYAL ST
POINT (-90.057830540215 29.961406018369),127,MIGHTY MISSISSIPPI DOWNRIVER FESTIVAL,Literary,400 ESPLANADE AVE
POINT (-90.046683024001 29.966619849511),223,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",934 MONTEGUT ST
POINT (-90.049373064466 29.962777497152),102,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2800 CHARTRES ST
POINT (-90.065606435029 29.956700956038),144,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,520 ROYAL ST
POINT (-90.062672620449 29.957315942826),185,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,701 DECATUR ST
POINT (-90.063476515196 29.959337743405),207,PONDEROSA STOMP,Music,828 ROYAL ST
POINT (-90.08034913003 29.939352905693),50,HOLIDAY ON THE BOULEVARD,Holiday,1712 ORETHA CASTLE HALEY BLVD
POINT (-90.060226698473 29.959074474981),22,CREOLE TOMATO FESTIVAL,Culinary Arts,1008 N PETERS ST
POINT (-90.05699005651 29.963818414648),67,FRENCHMEN ART MARKET,Visual Arts and Crafts,2121 CHARTRES ST
POINT (-90.100056451278 29.920383109673),206,FETE FRANCAISE,Cultural and Ethnic,821 GENERAL PERSHING ST
POINT (-90.035613533229 29.978310238976),120,SANKOFA MOBILE FARMERS MARKET,Culinary Arts,3501 N MIRO ST
POINT (-90.057081453984 29.967381268456),227,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",940 ELYSIAN FIELDS AVE
POINT (-90.11319215335 29.925200866263),152,NEW ORLEANS FRENCH FILM FESTIVAL,"Film, Theatre, and Dance",5339 PRYTANIA ST
,44,CARNAVAL LATINO,Music,1380 PORT OF NEW ORLEANS PL
POINT (-90.071177224903 29.943674016379),222,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,925 CAMP ST
POINT (-90.066726154156 29.953996731929),85,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,230 CHARTRES ST
POINT (-90.045494649856 29.967767853543),107,CHAZ FEST,Music,3020 ST CLAUDE AVE
POINT (-90.065654077487 29.983149094626),3,SUPER SUNDAY DOWNTOWN,Cultural and Ethnic,1974 LAW ST
POINT (-90.08034913003 29.939352905693),53,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1712 ORETHA CASTLE HALEY BLVD
POINT (-90.061000759371 29.961030289923),28,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,1113 CHARTRES ST
POINT (-90.062967465442 29.948130878467),19,BASTILLE DAY CELEBRATIONS,Cultural & Ethnic,1 POYDRAS ST
POINT (-90.055924100832 29.969014894164),76,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2227 ST CLAUDE AVE
POINT (-90.059605285596 29.968518418063),61,LADYFEST,Music,1931 ST CLAUDE AVE
POINT (-90.064173852391 29.943615107985),213,GREAT AMERICAN SEAFOOD COOKOFF,Culinary Arts,900 CONVENTION CENTER BLVD
POINT (-90.093297396193 29.986458535623),11,HOGS FOR THE CAUSE,Culinary Arts,1 COLLINS DIBOLL CR
POINT (-90.045754111859 29.963912718389),190,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",710 CLOUET ST
POINT (-90.12278945021 29.935428846275),180,NEW ORLEANS DANCE FESTIVAL,"Film, Theatre, and Dance",6823 ST CHARLES AVE
POINT (-90.070725446235 29.948389147075),158,NOLA DOWNTOWN MUSIC AND ARTS FESTIVAL,Music,550 ST CHARLES AVE
POINT (-90.057991827384 29.962807650234),141,SAN FERMIN IN NUEVA ORLEANS,Holiday,508 FRENCHMEN ST
POINT (-90.038133715607 29.966628968967),123,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3625 ST CLAUDE AVE
POINT (-90.068712633145 29.946628658893),183,CRESCENT CITY FARMERS MARKET WAREHOUSE,Culinary Arts,700 MAGAZINE ST
POINT (-90.075015618475 29.950870923931),132,BIRDFOOT CHAMBER MUSIC FESTIVAL,Music,445 S RAMPART ST
POINT (-90.046699670441 29.962360853292),110,MIRLITON FESTIVAL,Neighborhood,3036 CHARTRES ST
POINT (-90.057081453984 29.967381268456),228,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,940 ELYSIAN FIELDS AVE
POINT (-90.06509579749 29.950859743421),115,BEAUJOLAIS FESTIVAL,Culinary Arts,333 CANAL PL
POINT (-90.068410549581 29.959366091512),21,FRENCH QUARTER WINE FESTIVAL,Culinary Arts,1001 TOULOUSE ST
POINT (-90.093297396193 29.986458535623),14,LOUISIANA SEAFOOD FESTIVAL,Culinary Arts,1 COLLINS DIBOLL CR
POINT (-90.057830540215 29.961406018369),126,LOUISIANA CAJUN ZYDECO FESTIVAL,Music,400 ESPLANADE AVE
POINT (-90.12278945021 29.935428846275),179,CRAWFEST,Culinary Arts,6823 ST CHARLES AVE
POINT (-90.068685367544 29.961420814074),189,MARKETPLACE AT ARMSTRONG PARK,Culinary Arts,701 N RAMPART ST
POINT (-90.066379171906 29.94182225373),111,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",310 ANDREW HIGGINS DR
POINT (-90.077848737832 29.9426775249),37,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1232 ORETHA CASTLE HALEY BLVD
POINT (-90.082524050563 30.020413969752),33,GREEK FESTIVAL,Cultural and Ethnic,1200 ROBERT E LEE BLVD
POINT (-90.052720620831 29.96855184781),88,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2358 ST CLAUDE AVE
POINT (-90.12278945021 29.935428846275),181,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,6823 ST CHARLES AVE
POINT (-90.060524411469 29.95890082677),226,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,940 DECATUR ST
POINT (-90.093297396193 29.986458535623),12,INDIA FEST,Cultural and Ethnic,1 COLLINS DIBOLL CR
POINT (-90.057505701143 29.96470116804),7,FESTIVAL OF INDIA,Cultural and Ethnic,2121 ROYAL ST
POINT (-90.064772323144 29.959027025743),192,SAN FERMIN IN NUEVA ORLEANS,Holiday,717 ORLEANS ST
POINT (-90.06509579749 29.950859743421),118,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",333 CANAL ST
POINT (-90.114827669713 29.964970308),208,HOLLYGROVE MARKET AND FARM,Culinary Arts,8301 OLIVE ST
POINT (-90.093297396193 29.986458535623),16,THURSDAYS AT TWILIGHT,Music,1 COLLINS DIBOLL CR
POINT (-90.068685367544 29.961420814074),187,JAZZ IN THE PARK,Music,701 N RAMPART ST
POINT (-90.090801222556 29.930216111242),55,FLEUR DE LINDY SWING HOP DANCE FESTIVAL,"Film, Theatre, and Dance",1719 TOLEDANO ST
POINT (-90.057505701143 29.96470116804),69,FETE MARIGNY,Neighborhood,2121 ROYAL ST
POINT (-90.069314708178 29.951134330483),165,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",614 GRAVIER ST
POINT (-90.079889221513 29.939955884649),49,OCH ART MARKET,Visual Arts and Crafts,1618 ORETHA CASTLE HALEY BLVD
POINT (-90.050708785836 29.963464057371),101,FASHION WEEK,Visual Arts and Crafts,2700 CHARTRES ST
POINT (-90.112900763333 29.927362232346),154,BIRDFOOT CHAMBER MUSIC FESTIVAL,Music,5342 ST CHARLES AVE
POINT (-90.07705703229 29.983604495273),56,NEW ORLEANS JAZZ AND HERITAGE FESTIVAL,Music,1751 GENTILLY BLVD
POINT (-90.065729261482 29.94829537359),84,NEW ORLEANS BURLESQUE FESTIVAL,"Film, Theatre, and Dance",228 POYDRAS ST
POINT (-90.064173852391 29.943615107985),214,NEW ORLEANS WINE AND FOOD EXPERIENCE,Culinary Arts,900 CONVENTION CENTER BLVD
POINT (-90.128176073902 29.924717798981),178,SOUL FEST,Music,6500 MAGAZINE ST
POINT (-90.055655414554 29.968528324721),80,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2240 ST CLAUDE AVE
POINT (-90.066421418622 29.956739142615),191,NEW ORLEANS SPRING FIESTA,Holiday,713 ST LOUIS ST
POINT (-90.081688447381 29.93777195423),64,CENTRAL CITY FOOD TRUCK ROUNDUP,Culinary Arts,2016 ORETHA CASTLE HALEY BLVD
POINT (-90.062672620449 29.957315942826),184,GO FOURTH ON THE RIVER,Holiday,701 DECATUR ST
POINT (-90.059750990484 29.966620311297),60,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1919 BURGUNDY ST
POINT (-90.052366687319 29.96839941023),92,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2372 ST CLAUDE AVE
POINT (-90.076085567392 29.935475192161),57,SCANDINAVIAN FESTIVAL,Cultural and Ethnic,1772 PRYTANIA ST
POINT (-90.079231891228 29.934769291047),65,FASHION WEEK,Visual Arts and Crafts,2040 ST CHARLES AVE
